Code,Name,NameWoDiacritics,Function,Longitude,Latitude
GBBWZ,Bagworth,Bagworth,--3--6--,-1.3333333333333333,52.65
GBION,"Baile Mor, Iona","Baile Mor, Iona",1-3-----,-6.4,56.333333333333336
GBBBN,Balbriggan,Balbriggan,1-3-----,-6.166666666666667,53.6
GBBLI,Balintore,Balintore,1-3-----,-3.9,57.75
GBBNR,Ballantrae,Ballantrae,1-3-----,-4.983333333333333,55.083333333333336
GBBIN,Ballingry,Ballingry,--3--6--,-3.3166666666666664,56.15
GBBYP,Ballintoy,Ballintoy,1-------,-6.35,55.233333333333334
GBDOR,Ballydorn,Ballydorn,1-------,-5.633333333333333,54.483333333333334
GBBHB,Ballyhalbert,Ballyhalbert,1-------,-5.45,54.5
GBBLR,Ballylumford,Ballylumford,1-3-----,-5.783333333333333,54.833333333333336
GBLMN,Ballymartin,Ballymartin,1-------,-5.95,54.06666666666667
GBLYW,Ballywalter,Ballywalter,1-------,-5.483333333333333,54.53333333333333
GBBMC,Balmacara,Balmacara,1-3-----,-5.616666666666667,57.28333333333333
GBBSN,Baltasound,Baltasound,1-------,-0.8666666666666667,60.75
GBBVR,Balvicar,Balvicar,1-------,-5.6,56.28333333333333
GBBPD,Bampton,Bampton,-----6--,-3.4833333333333334,50.983333333333334
GBBFF,Banff,Banff,1-3-----,-2.533333333333333,57.666666666666664
GBRLG,Bar Light,Bar Light,1-------,-3.3166666666666664,53.53333333333333
GBBCE,Barcaldine,Barcaldine,1-------,-5.3,56.516666666666666
GBBDZ,Bardsea,Bardsea,1-------,-3.066666666666667,54.15
GBLBK,Barking,Barking,--3--6--,1.0166666666666666,52.13333333333333
GBBLZ,Barlborough,Barlborough,1----6--,-1.2833333333333332,53.28333333333333
GBBMU,Barmouth,Barmouth,1-------,-4.05,52.71666666666667
GBABW,Barmouth (Abermaw),Barmouth (Abermaw),123-----,-4.05,52.71666666666667
GBANC,Barnacle,Barnacle,--3--6--,-1.4333333333333333,52.46666666666667
GBBDB,Barnoldby le Beck,Barnoldby le Beck,1-3-----,-0.13333333333333333,53.5
GBBSY,Barnsley,Barnsley,1-3-----,-1.4833333333333334,53.55
GBBND,Barnstaple,Barnstaple,123-----,-4.066666666666666,51.083333333333336
GBBBX,Barnstone,Barnstone,1----6--,-0.9,52.9
GBBIF,Barrow in Furness,Barrow in Furness,1--4----,-3.2333333333333334,54.11666666666667
GBBUO,Barrow On Soar,Barrow On Soar,123--6--,-1.1333333333333333,52.75
GBBWU,Barrow upon Trent,Barrow upon Trent,1-3-----,-1.4666666666666668,52.85
GBBHR,Barrow-upon-Humber,Barrow-upon-Humber,1-3-----,-0.38333333333333336,53.68333333333333
GBBAD,Barry Dock,Barry Dock,1-------,-3.25,51.38333333333333
GBBNJ,Barston,Barston,-----6--,-1.6833333333333333,52.38333333333333
GBBAZ,Barton on Sea,Barton on Sea,1-------,-1.65,50.733333333333334
GBBNH,Barton upon Humber,Barton upon Humber,1-3-----,-0.43333333333333335,53.666666666666664
GBBXF,Bassingham,Bassingham,1----6--,-0.6333333333333333,53.11666666666667
GBCBX,Baxenden,Baxenden,1----6--,-2.35,53.733333333333334
GBBQX,Beadnell,Beadnell,1-------,-1.6333333333333333,55.55
GBBLU,Beaulieu,Beaulieu,123-----,-1.4333333333333333,50.81666666666667
GBBBL,Beauly,Beauly,-----6--,-43.333333333333336,57.46666666666667
GBBD2,Bedhampton,Bedhampton,1-3-----,-1.0,50.85
GBBTK,Bedstone,Bedstone,1----6--,-2.9333333333333336,52.36666666666667
GBENH,Beenham,Beenham,1----6--,-1.15,51.416666666666664
GBBXX,Beer,Beer,1-------,-3.0833333333333335,50.68333333333333
GBBSX,Beesands,Beesands,1-------,-3.5666666666666664,50.333333333333336
GBBEL,Belfast,Belfast,1--4-6--,-5.916666666666667,54.983333333333334
GBVVE,Belgrave,Belgrave,1-------,-2.166666666666667,52.65
GBBMT,"Belmont, Unst","Belmont, Unst",1-3-----,-0.9666666666666667,60.68333333333333
GBBEN,Belton,Belton,--3--6--,-0.8166666666666667,53.53333333333333
GBBBP,Bembridge,Bembridge,1-34----,-1.0833333333333333,50.68333333333333
GBZAB,Berkley,Berkley,-----6--,-2.2666666666666666,51.233333333333334
GBRNR,Bernera (Lewis),Bernera (Lewis),1-------,-6.983333333333333,58.18333333333333
GBRNN,Bernera (N Uist),Bernera (N Uist),1-------,-7.15,57.6
GBBEH,Berry Head,Berry Head,1-3-----,-3.4833333333333334,50.4
GBBWK,Berwick-upon-Tweed,Berwick-upon-Tweed,1-------,-2.0,55.78333333333333
GBZSS,Bessbrook,Bessbrook,-----6--,-6.65,54.31666666666667
GBBNI,Bethania,Bethania,--3--6--,-4.083333333333333,52.233333333333334
GBXHA,Bethesda,Bethesda,-----6--,-4.766666666666667,51.81666666666667
GBETY,Betley,Betley,--3--6--,-2.35,53.03333333333333
GBBXB,Bexhill,Bexhill,123-----,0.4666666666666667,50.85
GBBXL,Bexleyheath,Bexleyheath,-----6--,0.0,51.45
GBBXW,Bexwell,Bexwell,-----6--,0.6833333333333333,53.0
GBBQQ,Bickington,Bickington,1-------,-3.6833333333333336,50.53333333333333
GBBID,Bideford,Bideford,1-------,-4.216666666666667,51.016666666666666
GBUGH,Billingborough,Billingborough,1-------,-20.0,52.88333333333333
GBBHW,Billingham,Billingham,1-------,-1.3,54.6
GBNTB,Bilsington,Bilsington,-----6--,9.266666666666667,51.1
GBBOZ,Bilton,Bilton,--3--6--,-1.2666666666666666,53.95
GBBIB,Binbrook,Binbrook,-----6--,-0.2833333333333333,53.7
GBBGY,Bingley,Bingley,1-------,-1.8333333333333335,53.85
GBBCV,Birch Vale,Birch Vale,--3--6--,-1.9666666666666668,53.36666666666667
GBZAC,Birchwood,Birchwood,-----6--,-0.6,53.233333333333334
GBBDA,Birkdale,Birkdale,123-----,-3.033333333333333,53.63333333333333
GBBRK,Birkenhead,Birkenhead,123-----,-3.033333333333333,53.4
GBRSB,Birsay,Birsay,1-------,-3.283333333333333,59.11666666666667
GBQWR,Bishops Castle,Bishops Castle,1----6--,-3.0,52.5
GBBFM,Bishops Frome,Bishops Frome,-----6--,-2.5,52.13333333333333
GBPQT,Bishopsteignton,Bishopsteignton,1----6--,-3.533333333333333,50.55
GBBFP,Blackford,Blackford,1-------,-2.4833333333333334,57.4
GBBKS,Blackness,Blackness,1-3-----,-3.5166666666666666,56.0
GBBLJ,Blairmore,Blairmore,1-------,-4.9,55.983333333333334
GBBLC,Blakeney,Blakeney,1-3-----,1.0166666666666666,52.95
GBWJH,Blewbury,Blewbury,1----6--,-1.2333333333333334,51.55
GBYTH,Blyth,Blyth,1----6--,-1.0666666666666667,53.36666666666667
GBDMB,Boddam,Boddam,1-------,-1.7666666666666666,57.45
GBBFO,Bodffordd,Bodffordd,12---6--,-4.366666666666666,53.266666666666666
GBBSI,Bognor Regis,Bognor Regis,123-----,-0.6833333333333333,50.78333333333333
GBLTD,Bolt Head,Bolt Head,1-------,-3.783333333333333,50.21666666666667
GBBLT,Bolton,Bolton,1-------,-2.4333333333333336,53.583333333333336
GBZAD,Boncath,Boncath,-----6--,-4.616666666666667,52.0
GBBON,Bo'ness,Bo'ness,1-------,-3.6,56.0
GBBOE,Bootle,Bootle,1-------,-3.0166666666666666,53.46666666666667
GBBSS,Borrowstowness,Borrowstowness,1-------,-3.5166666666666666,54.43333333333333
GBBOT,Borth-y-Gest,Borth-y-Gest,1-3-----,-4.133333333333334,52.916666666666664
GBBSC,Boscastle,Boscastle,1-3-----,-4.7,50.68333333333333
GBOHM,Bosham,Bosham,1-------,-0.8666666666666667,50.81666666666667
GBZTT,Bottesford,Bottesford,-----6--,-1.3333333333333333,53.55
GBGBO,Boughton,Boughton,-23--6--,-1.0,53.2
GBBMX,Boulmer,Boulmer,1-------,-1.5666666666666667,55.416666666666664
GBBOH,Bournemouth,Bournemouth,1234----,-1.8833333333333333,50.733333333333334
GBBWQ,Bow,Bow,--3--6--,-3.8166666666666664,50.8
GBBWG,Bowers Gifford,Bowers Gifford,-----6--,5.266666666666667,55.916666666666664
GBBOW,Bowling,Bowling,1-------,-4.483333333333333,55.916666666666664
GBRCD,Bracadale,Bracadale,1-------,-6.4,57.35
GBBHX,Bradenham,Bradenham,-----6--,-0.8,51.65
GBZAE,Bradfield,Bradfield,-----6--,-1.1166666666666667,51.93333333333333
GBBRF,Bradford,Bradford,1--4----,-1.75,53.78333333333333
GBBSK,Bradley Stoke,Bradley Stoke,-23--6--,-2.55,51.53333333333333
GBSDT,Bradstone,Bradstone,1----6--,-4.266666666666667,50.56666666666667
GBDWL,Bradwell Waterside,Bradwell Waterside,1-3-----,0.8833333333333333,51.733333333333334
GBBFB,Braefoot Bay,Braefoot Bay,1-------,-3.3166666666666664,56.05
GBMDE,Bramdean,Bramdean,1----6--,-1.1166666666666667,51.03333333333333
GBBML,Bramley,Bramley,--3--6--,-1.2666666666666666,53.416666666666664
GBBPO,Brampton,Brampton,--3--6--,-0.23333333333333334,52.31666666666667
GBBHJ,Bramshall,Bramshall,1----6--,-10.916666666666666,52.9
GBBCS,Brancaster Staithe,Brancaster Staithe,1-3-----,0.6666666666666666,52.96666666666667
GBZTO,Brandesburton,Brandesburton,-----6--,-0.48333333333333334,54.516666666666666
GBBBE,Branscombe,Branscombe,1-------,-3.1333333333333333,50.7
GBBWM,Bray,Bray,1----6--,-0.7,51.5
GBBGQ,Breage,Breage,--3--6--,-5.333333333333333,50.1
GBRST,Breasclete,Breasclete,1-------,-6.75,58.2
GBREV,"Brevig, Barra","Brevig, Barra",1-------,-7.433333333333334,56.95
GBBRT,Bridlington,Bridlington,1-------,-0.2,54.083333333333336
GBBFE,Brierfield,Brierfield,123-----,-2.2333333333333334,53.81666666666667
GBBXS,Brighstone,Brighstone,1-------,-1.3833333333333333,50.63333333333333
GBZAF,Brimsdown,Brimsdown,-----6--,-0.03333333333333333,51.65
GBZWT,Brinsworth,Brinsworth,-----6--,-1.6166666666666667,53.666666666666664
GBBIK,Briston,Briston,1-3-----,1.0666666666666667,52.85
GBBFY,Briton Ferry,Briton Ferry,1-------,-3.8166666666666664,51.63333333333333
GBBRX,Brixham,Brixham,1-------,-3.5,50.38333333333333
GBBDF,"Broadford, Isle of Skye","Broadford, Isle of Skye",1-3-----,-5.9,57.233333333333334
GBBYN,Broadmayne,Broadmayne,1-------,-2.3833333333333333,50.68333333333333
GBBPE,Broadmoor,Broadmoor,1-3-----,-4.75,51.71666666666667
GBBDT,Broadstairs,Broadstairs,123-----,1.4166666666666667,51.36666666666667
GBBDI,"Brodick, Isle of Arran","Brodick, Isle of Arran",1-3-----,-5.166666666666667,55.583333333333336
GBBRJ,Brora,Brora,123-----,-3.85,58.016666666666666
GBBXT,Brotton,Brotton,1-------,-0.9333333333333333,54.56666666666667
GBOGH,Brough,Brough,1-------,-0.5833333333333334,53.71666666666667
GBRGH,Brough,Brough,1-------,-3.3333333333333335,58.65
GBBZT,Broughton,Broughton,1-3-----,-3.0,53.166666666666664
GBBFU,Broughton In Furness,Broughton In Furness,1-------,-3.2,54.266666666666666
GBBCH,Bruichladdich,Bruichladdich,1-3-----,-6.366666666666666,55.766666666666666
GBBRU,"Bruray, Out Skerries","Bruray, Out Skerries",1-3-----,-0.75,60.416666666666664
GBBZR,Bryher,Bryher,1-3-----,-6.35,49.95
GBBYI,Brynsiencyn,Brynsiencyn,1-------,-4.233333333333333,53.18333333333333
GBBE2,Bubwith,Bubwith,1-3-----,-0.9166666666666666,53.81666666666667
GBUCN,Buchan,Buchan,1-------,0.03333333333333333,57.9
GBNY2,Buckden,Buckden,1-3-----,-2.0833333333333335,54.18333333333333
GBBKA,Buckfast,Buckfast,--3--6--,-3.783333333333333,50.483333333333334
GBBUC,Buckie,Buckie,1-------,-2.966666666666667,57.666666666666664
GBBCR,Buck's Cross,Buck's Cross,1-------,-4.4,51.0
